ID;species;genus;seedingYear;seeding5YearPeriod;sidewalkProximity;environmentBusyness;vigor
11518;griffiti;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11519;N/A;Quercus;2005;2005;non;passages fréquents ou arrêts;vigoureux
11520;colurna;Corylus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11521;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11522;pseudoplatanus;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11523;robusta;Populus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11524;grandiflora;Magnolia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11525;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11526;serrata;Zelkova;2015;2015;non;passages fréquents ou arrêts;vigoureux
11527;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11528;platyphyllos;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11529;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11530;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11531;sylvestris;Pinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11532;robusta;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11533;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11534;nigra;Populus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11535;N/A;Fraxinus;2006;2005;non;passages fréquents ou arrêts;vigoureux
11536;N/A;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
11537;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11538;N/A;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11539;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11540;grandiflora;Magnolia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11541;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11542;freemani;Acer;2014;2010;non;passages fréquents et arrêts fréquents;vigoureux
11543;nigra;Populus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11544;pseudoplatanus;Acer;2004;2000;oui;passages fréquents ou arrêts;vigoureux
11545;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11546;verrucosa;Betula;2009;2005;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
11547;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
11548;saccharinum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11549;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11550;acerifolia;Platanus;2004;2000;oui;passages fréquents ou arrêts;vigoureux
11551;sempervirens;Cupressus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11552;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11553;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11554;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11555;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11556;tomentosa;Tilia;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux
11557;grandiflora;Magnolia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11558;triacanthos;Gleditsia;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux
11559;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11560;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11561;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11562;robusta;Populus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
11563;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11564;saccharinum;Acer;2005;2005;non;passages fréquents ou arrêts;vigoureux
11565;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11566;subhirtella;Prunus;2014;2010;oui;passages fréquents ou arrêts;vigoureux
11567;N/A;Pinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11568;japonica;Sophora;2006;2005;oui;passages fréquents et arrêts fréquents;vigoureux
11569;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11570;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11571;atlantica;Cedrus;2006;2005;non;passages fréquents et arrêts fréquents;vigoureux
11572;nigra;Pinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11573;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vieillissement dépérissement
11574;cordata;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11575;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents ou arrêts;vigoureux
11576;saccharinum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11577;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11578;paniculata;Koelreuteria;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11579;serrulata;Prunus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11580;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11581;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11582;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11583;verrucosa;Betula;2005;2005;oui;passages fréquents et arrêts fréquents;vigoureux
11584;tulipifera;Liriodendron;2014;2010;oui;passages fréquents ou arrêts;vigoureux
11585;pseudoacacia;Robinia;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
11586;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11587;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11588;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11589;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11590;platanoides;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
11591;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11592;triacanthos;Gleditsia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11593;biloba;Ginkgo;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11594;platyphyllos;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11595;calleryana;Pyrus;2004;2000;oui;passages fréquents ou arrêts;vigoureux
11596;platanoides;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
11597;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11598;platyphyllos;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11599;willosa;Photinia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11600;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11601;betulus;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
11602;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11603;pumila;Malus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11604;cerris;Quercus;2011;2010;oui;passages fréquents et arrêts fréquents;vigoureux
11605;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11606;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11607;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11608;oxycarpa;Fraxinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11609;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11610;cerris;Quercus;2011;2010;non;passages fréquents et arrêts fréquents;vigoureux
11611;platanoides;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11612;serrulata;Prunus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11613;leylandii;Cupressocyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11614;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11615;griffiti;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11616;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11617;sylvatica;Fagus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11618;australis;Celtis;2004;2000;non;passages fréquents ou arrêts;vigoureux
11619;ceracifera;Prunus;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux
11620;saccharinum;Acer;2010;2010;non;passages fréquents et arrêts fréquents;vigoureux
11621;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11622;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11623;tomentosa;Paulownia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11624;atlantica;Cedrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11625;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11626;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11627;calleryana;Pyrus;2014;2010;oui;passages fréquents ou arrêts;vigoureux
11628;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11629;mughus;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11630;biloba;Ginkgo;2005;2005;oui;passages fréquents et arrêts fréquents;vigoureux
11631;tashkentensis;Chitalpa;2014;2010;oui;passages fréquents ou arrêts;vigoureux
11632;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11633;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11634;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11635;plicata;Thuja;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11636;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
11637;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11638;N/A;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
11639;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11640;verrucosa;Betula;2005;2005;oui;passages fréquents et arrêts fréquents;vigoureux
11641;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11642;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11643;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11644;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11645;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11646;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11647;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11648;platanor;Platanus;2014;2010;oui;passages fréquents ou arrêts;vigoureux
11649;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11650;colurna;Corylus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11651;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11652;triacanthos;Gleditsia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11653;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11654;americana;Fraxinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11655;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11656;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11657;deodara;Cedrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11658;acerifolia;Platanus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11659;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11660;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
11661;N/A;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11662;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11663;platanoides;Acer;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux
11664;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11665;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11666;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11667;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11668;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11669;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
11670;tremula;Populus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11671;alba;Betula;2004;2000;oui;passages fréquents ou arrêts;vigueur intermédiaire
11672;serrulata;Prunus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11673;ceracifera;Prunus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11674;cerris;Quercus;2014;2010;oui;passages fréquents ou arrêts;vigoureux
11675;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11676;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11677;platanoides;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
11678;kobus;Magnolia;2014;2010;oui;passages fréquents ou arrêts;vigoureux
11679;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11680;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11681;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11682;australis;Celtis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11683;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11684;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
11685;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11686;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11687;tomentosa;Tilia;2004;2000;non;passages fréquents ou arrêts;vigoureux
11688;siliquastrum;Cercis;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11689;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11690;deodara;Cedrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11691;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11692;betulus;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11693;nigra;Pinus;2004;2000;non;quelques passages;vigueur intermédiaire
11694;campestris;Acer;2013;2010;non;passages fréquents ou arrêts;vigoureux
11695;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11696;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11697;giganteum;Sequoiadendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11698;N/A;Fraxinus;2006;2005;non;passages fréquents et arrêts fréquents;vigoureux
11699;saccharinum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11700;atlantica;Cedrus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
11701;abies;Picea;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
11702;platanoides;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
11703;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
11704;virginiana;Diospyros;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11705;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11706;betulus;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11707;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11708;nordmaniana;Abies;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11709;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
11710;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11711;platanoides;Acer;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux
11712;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11713;nigra;Morus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11714;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vieillissement dépérissement
11715;abies;Picea;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11716;platyphyllos;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11717;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11718;acerifolia;Platanus;2004;2000;oui;passages fréquents ou arrêts;vigueur intermédiaire
11719;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11720;ginnala;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
11721;serrulata;Prunus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11722;nigra;Pinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11723;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11724;acerifolia;Platanus;2009;2005;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11725;triacanthos;Gleditsia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11726;australis;Celtis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11727;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11728;nigra;Populus;2004;2000;non;quelques passages;vigoureux
11729;aria;Sorbus;2011;2010;non;passages fréquents et arrêts fréquents;vigoureux
11730;henryana;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11731;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11732;hippocastanum;Aesculus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11733;sylvatica;Fagus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11734;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11735;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11736;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11737;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11738;N/A;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11739;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11740;N/A;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11741;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11742;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11743;N/A;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11744;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11745;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11746;nigra;Pinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11747;hippocastanum;Aesculus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11748;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11749;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11750;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11751;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11752;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11753;nigra;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11754;atlantica;Cedrus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11755;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11756;verrucosa;Betula;2004;2000;non;passages fréquents ou arrêts;vigoureux
11757;grandiflora;Magnolia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11758;utilis;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11759;tomentosa;Tilia;2004;2000;non;passages fréquents ou arrêts;vigoureux
11760;triacanthos;Gleditsia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11761;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11762;avium;Prunus;2015;2015;non;passages fréquents ou arrêts;vigoureux
11763;platanoides;Acer;2006;2005;non;passages fréquents et arrêts fréquents;vigoureux
11764;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
11765;tschonoskii;Malus;2013;2010;non;passages fréquents ou arrêts;vigoureux
11766;cordata;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11767;sempervirens;Cupressus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11768;campestris;Acer;2004;2000;non;quelques passages;vigoureux
11769;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11770;sempervirens;Cupressus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11771;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11772;nigra;Pinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11773;saccharinum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11774;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11775;hippocastanum;Aesculus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11776;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11777;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11778;N/A;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11779;avium;Prunus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11780;campestris;Acer;2004;2000;oui;passages fréquents ou arrêts;vigoureux
11781;excelsior;Fraxinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11782;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11783;cordata;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11784;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11785;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11786;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11787;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11788;hippocastanum;Aesculus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11789;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11790;atlantica;Cedrus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11791;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11792;campestris;Acer;2004;2000;oui;passages fréquents ou arrêts;vigoureux
11793;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
11794;N/A;Carpinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11795;leylandii;Cupressocyparis;2004;2000;non;passages fréquents ou arrêts;vigoureux
11796;verrucosa;Betula;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux
11797;platanoides;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
11798;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11799;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11800;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11801;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11802;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11803;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11804;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
11805;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11806;hippocastanum;Aesculus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
11807;cerris;Quercus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11808;bombycis;Morus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11809;robusta;Populus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
11810;nigra;Sambuccus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
11811;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11812;serrata;Zelkova;2011;2010;non;passages fréquents et arrêts fréquents;vigoureux
11813;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11814;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11815;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
11816;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11817;pseudoacacia;Robinia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11818;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11819;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11820;acerifolia;Platanus;2004;2000;oui;passages fréquents ou arrêts;vigoureux
11821;australis;Celtis;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux
11822;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11823;N/A;Fraxinus;2005;2005;non;passages fréquents ou arrêts;vigoureux
11824;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11825;tomentosa;Tilia;2007;2005;non;passages fréquents et arrêts fréquents;vigoureux
11826;N/A;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
11827;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11828;sylvestris;Pinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
11829;serrulata;Prunus;2014;2010;non;passages fréquents ou arrêts;vigoureux
11830;atlantica;Cedrus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
11831;styraciflua;Liquidambar;2013;2010;non;passages fréquents ou arrêts;vigoureux
11832;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11833;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
11834;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
